SECT W30X357   WF 105.00 134.000 18700.0 1390.00  15.502.240 32.801.2400.790    
SECT W30X326   WF  95.80 103.000 16800.0 1240.00  15.402.050 32.401.1400.790    
SECT W30X292   WF  85.90  75.200 14900.0 1100.00  15.301.850 32.001.0200.790    
SECT W30X261   WF  76.90  54.100 13100.0  959.00  15.201.650 31.600.9300.790    
SECT W30X235   WF  69.20  40.300 11700.0  855.00  15.101.500 31.300.8300.790    
SECT W30X211   WF  62.20  28.400 10300.0  757.00  15.101.320 30.900.7750.780    
SECT W30X191   WF  56.30  21.000  9200.0  673.00  15.001.190 30.700.7100.780    
SECT W30X173   WF  51.00  15.600  8230.0  598.00  15.001.070 30.400.6550.780    
SECT W30X148   WF  43.50  14.500  6680.0  227.00  10.501.180 30.700.6500.650    
SECT W30X132   WF  38.90   9.720  5770.0  196.00  10.501.000 30.300.6150.650    
SECT W30X124   WF  36.50   7.990  5360.0  181.00  10.500.930 30.200.5850.650    
SECT W30X116   WF  34.20   6.430  4930.0  164.00  10.500.850 30.000.5650.650    
SECT W30X108   WF  31.70   4.990  4470.0  146.00  10.500.760 29.800.5450.650    
SECT W30X99    WF  29.10   3.770  3990.0  128.00  10.500.670 29.700.5200.650    
SECT W30X90    WF  26.40   2.840  3610.0  115.00  10.400.610 29.500.4700.650    
SECT W27X539   WF 159.00 496.000 25600.0 2110.00  15.303.540 32.501.9700.790    
SECT W27X368   WF 108.00 170.000 16200.0 1310.00  14.702.480 30.401.3800.790    
SECT W27X336   WF  98.90 131.000 14600.0 1180.00  14.602.280 30.001.2600.790    
SECT W27X307   WF  90.40 101.000 13100.0 1050.00  14.402.090 29.601.1600.790    
SECT W27X281   WF  82.90  79.500 11900.0  953.00  14.401.930 29.301.0600.790    
SECT W27X258   WF  76.00  61.600 10800.0  859.00  14.301.770 29.000.9800.790    
SECT W27X235   WF  69.40  47.000  9700.0  769.00  14.201.610 28.700.9100.790    
SECT W27X217   WF  64.00  37.600  8910.0  704.00  14.101.500 28.400.8300.790    
SECT W27X194   WF  57.20  27.100  7860.0  619.00  14.001.340 28.100.7500.790    
SECT W27X178   WF  52.50  20.100  7020.0  555.00  14.101.190 27.800.7250.790    
SECT W27X161   WF  47.60  15.100  6310.0  497.00  14.001.080 27.600.6600.790    
SECT W27X146   WF  43.10  11.300  5660.0  443.00  14.000.975 27.400.6050.785    
SECT W27X129   WF  37.80  11.100  4760.0  184.00  10.001.100 27.600.6100.600    
SECT W27X114   WF  33.50   7.330  4080.0  159.00  10.100.930 27.300.5700.600    
SECT W27X102   WF  30.00   5.280  3620.0  139.00  10.000.830 27.100.5150.600    
SECT W27X94    WF  27.70   4.030  3270.0  124.00  10.000.745 26.900.4900.595    
SECT W27X84    WF  24.80   2.810  2850.0  106.00  10.000.640 26.700.4600.600    
SECT W24X370   WF 109.00 201.000 13400.0 1160.00  13.702.720 28.001.5200.500    
SECT W24X335   WF  98.40 152.000 11900.0 1030.00  13.502.480 27.501.3800.500    
SECT W24X306   WF  89.80 117.000 10700.0  919.00  13.402.280 27.101.2600.500    
SECT W24X279   WF  82.00  90.500  9600.0  823.00  13.302.090 26.701.1600.500    
SECT W24X250   WF  73.50  66.600  8490.0  724.00  13.201.890 26.301.0400.500    
